Rank,University,Country,Score,Enrollment
238,Griffith University,Australia,,
238,Sejong University,South Korea,,
238,Shandong University,China,,
238,University of Iowa,United States,,
242,Charles University Prague,Czech Republic,,
242,University of California Riverside,United States,,
244,University of Newcastle,Australia,,
245,George Washington University,United States,,
245,University College Dublin,Ireland,,
245,University of Sharjah,,,
248,Cairo University,Egypt,,
248,National Taiwan University,Taiwan,,
248,Norwegian University of Science & Technology (NTNU),Norway,,
251,University of Milano-Bicocca,Italy,,
252,Royal Institute of Technology,Sweden,,
252,Universite Libre de Bruxelles,Belgium,,
252,University of Pisa,Italy,,
255,University of Southern Denmark,Denmark,,
256,Universite Grenoble Alpes (UGA),France,,
256,University of Florence,Italy,,
256,University of Ottawa,Canada,,
259,University of Sussex,United Kingdom,,
260,Wuhan University of Technology,China,,
261,Dalian University of Technology,China,,
261,University of Bergen,Norway,,
261,University of Illinois Chicago,United States,,
261,University of Valencia,Spain,,
265,University of Witwatersrand,South Africa,,
265,Western Sydney University,Australia,,
267,Cankaya University,Turkey,,
267,Lancaster University,United Kingdom,,
269,North Carolina State University,United States,,
270,Technical University of Berlin,Germany,,
271,Aalto University,Finland,,
271,Hebrew University of Jerusalem,United States,,
271,Jiangsu University,China,,
271,Sungkyunkwan University (SKKU),South Korea,,
271,Universidade do Porto,Portugal,,
276,Aalborg University,Denmark,,
276,Pompeu Fabra University,Spain,,
278,Karlsruhe Institute of Technology,Germany,,
278,La Trobe University,Australia,,
278,University of Southern Queensland,Australia,,
281,Al Azhar University,Egypt,,
281,Autonomous University of Madrid,Spain,,
281,Korea Advanced Institute of Science & Technology (KAIST),South Korea,,
281,University of Tasmania,Australia,,
281,University of Tehran,Iran,,
281,University of Tennessee Knoxville,United States,,
281,Virginia Polytechnic Institute & State University,United States,,
288,Duy Tan University,Vietnam,,
288,Korea University,South Korea,,
288,Northwest A&F University - China,China,,
288,University of Erlangen Nuremberg,Germany,,
292,Durham University,United Kingdom,,
292,Soochow University - China,China,,
292,Universite de Bordeaux,France,,
292,University of Connecticut,United States,,
296,Jilin University,China,,
296,Leipzig University,Germany,,
296,Shanghai University,China,,
296,Tufts University,United States,,
296,University of Otago,New Zealand,,
301,Mansoura University,Egypt,,
302,Georgetown University,United States,,
302,Linkoping University,Sweden,,
302,Nanjing Agricultural University,China,,
302,Singapore University of Technology & Design,Singapore,,
302,University of Duisburg Essen,Germany,,
302,University of York - UK,United Kingdom,,
308,Tohoku University,Japan,,
308,Westlake University,China,,
310,Florida State University,United States,,
310,Qatar University,Qatar,,
310,Universite Toulouse III - Paul Sabatier,France,,
310,University of Maryland Baltimore,United States,,
314,China Medical University Taiwan,Taiwan,,
314,King Fahd University of Petroleum & Minerals,Saudi Arabia,,
314,The University of Osaka,Japan,,
314,Western University (University of Western Ontario),Canada,,
314,Zagazig University,Egypt,,
319,Beijing University of Chemical Technology,China,,
319,"City St George’s, University of London",United Kingdom,,
319,University of Johannesburg,South Africa,,
322,Stellenbosch University,South Africa,,
323,Institut Polytechnique de Paris,France,,
323,University of Texas Health Science Center Houston,United States,,
323,Yeshiva University,United States,,
326,Complutense University of Madrid,Spain,,
326,Dartmouth College,United States,,
326,University of Lagos,Nigeria,,
326,University of Surrey,United Kingdom,,
330,ShanghaiTech University,China,,
331,Universita Cattolica del Sacro Cuore,Italy,,
331,Universiti Malaya,Malaysia,,
333,COMSATS University Islamabad (CUI),Pakistan,,
333,United Arab Emirates University,United Arab Emirates,,
333,Universite de Strasbourg,France,,
333,University of Potsdam,Germany,,
333,University of Trento,Italy,,
338,Polytechnic University of Milan,Italy,,
338,University of Kiel,Germany,,
340,Colorado State University,United States,,
340,Huazhong Agricultural University,China,,
340,Universite Claude Bernard Lyon 1,France,,
340,University of Kansas,United States,,
340,University of Pavia,Italy,,
345,Jinan University,China,,
345,South Ural State University,Russia,,
345,University of Georgia,United States,,
345,University of Turku,Finland,,
349,Universite de Lille,France,,
349,University of Genoa,Italy,,
349,Vrije Universiteit Brussel,Belgium,,
352,Chalmers University of Technology,Sweden,,
352,Kyushu University,United Kingdom,,
354,Australian Catholic University,Australia,,
354,King Khalid University,Saudi Arabia,,
354,Nagoya University,Japan,,
357,Ain Shams University,Egypt,,
357,University of Science & Technology Beijing,China,,
357,University of South Florida,United States,,
360,Alexandria University,Egypt,,
360,Temple University,United States,,
360,Universite Cote d'Azur,France,,
360,University of Ibadan,Nigeria,,
360,University of Liege,Belgium,,
360,Zhejiang Normal University,China,,
366,University of Granada,Spain,,
366,University of Navarra,Spain,,
366,University of Texas Health Science Center at San Antonio,United States,,
369,Ruhr University Bochum,Germany,,
369,"University at Buffalo, SUNY",United States,,
371,Institute of Science Tokyo,Japan,,
371,Qingdao University,China,,
371,University of Aberdeen,United Kingdom,,
374,Nanjing Forestry University,China,,
374,Scuola Normale Superiore di Pisa,Italy,,
376,Jiangnan University,China,,
376,Medical University of Graz,Austria,,
376,Technion Israel Institute of Technology,Israel,,
376,Universiti Teknologi Malaysia,Malaysia,,
380,Iowa State University,United States,,
380,Pohang University of Science & Technology (POSTECH),South Korea,,
380,Universidade Estadual de Campinas,Brazil,,
383,Fuzhou University,China,,
383,Ton Duc Thang University,,,
385,Dalhousie University,Canada,,
385,Humanitas University,Italy,,
385,Louisiana State University,United States,,
385,Ulm University,Germany,,
385,University of Reading,United Kingdom,,
390,Pontificia Universidad Catolica de Chile,Chile,,
390,University of South Carolina Columbia,United States,,
392,University of Oulu,Finland,,
392,University of Rome Tor Vergata,Italy,,
394,Central China Normal University,China,,
394,Friedrich Schiller University of Jena,Germany,,
394,Renmin University of China,China,,
394,Tulane University,United States,,
394,University of Victoria,Canada,,
399,Khalifa University of Science & Technology,,,
399,Oregon State University,United States,,
399,University College Cork,Ireland,,
399,University of Dundee,United Kingdom,,
403,Islamic Azad University,Iran,,
403,Ulsan National Institute of Science & Technology (UNIST),South Korea,,
403,University of Bath,United Kingdom,,
403,University of St Andrews,United Kingdom,,
407,University of Kentucky,United States,,
407,University of Notre Dame,United States,,
409,Eindhoven University of Technology,Netherlands,,
409,Nanjing University of Information Science & Technology,China,,
411,Hannover Medical School,Germany,,
411,Quaid I Azam University,Pakistan,,
411,Umea University,Sweden,,
411,University of Oregon,United States,,
411,Virginia Commonwealth University,United States,,
416,Aristotle University of Thessaloniki,Greece,,
416,James Cook University,Australia,,
416,Queens University,Canada,,
416,Universidad Nacional Autonoma de Mexico,Mexico,,
416,Universiti Sains Malaysia,Malaysia,,
416,University of Houston,United States,,
416,Washington State University,United States,,
423,University of East Anglia,United Kingdom,,
424,Simon Fraser University,Canada,,
424,University of Kwazulu Natal,South Africa,,
424,University of South Australia,Australia,,
427,Assiut University,Egypt,,
427,Jagiellonian University,Poland,,
427,Swansea University,United Kingdom,,
427,University of Strathclyde,United Kingdom,,
427,University of Twente,Netherlands,,
432,Heinrich Heine University Dusseldorf,Germany,,
432,University of Mississippi,United States,,
434,Flinders University,Australia,,
434,Hanyang University,South Korea,,
434,Hokkaido University,Japan,,
434,Universita degli Studi di Bari Aldo Moro,Italy,,
434,University of Central Florida,United States,,
439,Hong Kong Baptist University,Hong Kong,,
440,Baylor University,United States,,
440,Medical University of Innsbruck,Austria,,
440,Taif University,Saudi Arabia,,
440,University of Colorado Denver,United States,,
440,University of Manitoba,Canada,,
445,Nantes Universite,France,,
445,Northeastern University - China,China,,
445,Prince Sultan University,Jordan,,
445,University of Massachusetts Worcester,United States,,
445,University of New Mexico,United States,,
445,Xidian University,China,,
451,Laval University,Canada,,
451,Nanjing University of Science & Technology,China,,
451,University of Buenos Aires,Argentina,,
454,Guangzhou University,China,,
455,Universite de Lorraine,France,,
455,University of Delaware,United States,,
457,Edith Cowan University,Australia,,
457,Universitat Politecnica de Catalunya,Spain,,
457,University of Trieste,Italy,,
460,Lanzhou University,China,,
460,University of Belgrade,Serbia,,
460,University of Pretoria,,,
460,University of Verona,Italy,,
464,Donghua University,China,,
464,Ocean University of China,China,,
464,Universidade Federal do Rio Grande do Sul,Brazil,,
464,Wayne State University,United States,,
468,Peking Union Medical College,China,,
468,Southwestern University of Finance & Economics - China,China,,
468,Tampere University,Finland,,
468,University of Missouri,United States,,
468,University of Warsaw,Poland,,
473,Guangdong University of Technology,China,,
473,Medical University of South Carolina,United States,,
473,Southwest University - China,China,,
473,Swedish University of Agricultural Sciences,Sweden,,
473,Universidad de Chile,Chile,,
473,University of Luxembourg,Luxembourg,,
479,Bogazici University,Turkey,,
479,Hamad Bin Khalifa University-Qatar,Qatar,,
479,University of Brescia,Italy,,
479,University of Catania,Italy,,
483,Hohai University,China,,
483,Syracuse University,United States,,
483,University of Hawaii Manoa,United States,,
483,University of Innsbruck,Austria,,
487,Kyung Hee University,South Korea,,
487,Prince Sattam Bin Abdulaziz University,Saudi Arabia,,
487,University of Basque Country,Spain,,
490,Universidade de Coimbra,Portugal,,
490,University of Nebraska Lincoln,United States,,
492,Nanjing Normal University,China,,
493,Drexel University,United States,,
493,Tanta University,Egypt,,
495,Eotvos Lorand University,Hungary,,
495,Sechenov First Moscow State Medical University,Russia,,
497,Koc University,Turkey,,
497,University of the Philippines Manila,Philippines,,
497,Wake Forest University,United States,,
500,Anhui University of Finance & Economics,China,,
500,China University of Petroleum,China,,
500,Jefferson University,United States,,
500,Rush University,United States,,
504,Florida International University,United States,,
504,Universite de Rennes,France,,
506,International School for Advanced Studies (SISSA),Italy,,
506,National Tsing Hua University,Taiwan,,
506,University of Ljubljana,Slovenia,,
506,Victoria University Wellington,New Zealand,,
510,George Mason University,United States,,
510,Murdoch University,Australia,,
510,Nanjing University of Aeronautics & Astronautics,China,,
510,University of Tsukuba,United Kingdom,,
514,Changsha University of Science & Technology,China,,
514,Southwest Jiaotong University,China,,
514,University of Santiago of Compostela,Spain,,
514,York University - Canada,Canada,,
518,Boston College,United States,,
518,Kafrelsheikh University,Egypt,,
518,University of Seville,Spain,,
521,Lomonosov Moscow State University,Russia,,
521,Loughborough University,United Kingdom,,
521,Princess Nourah bint Abdulrahman University,Saudi Arabia,,
521,Zhejiang University of Technology,China,,
525,Brunel University London,United Kingdom,,
525,Nottingham Trent University,United Kingdom,,
527,Politecnico di Torino,Italy,,
528,Beijing University of Technology,China,,
528,Ollscoil na Gaillimhe-University of Galway,Ireland,,
528,Umm Al Qura University,Saudi Arabia,,
528,University of Iceland,Iceland,,
528,University of Oklahoma,United States,,
533,East China University of Science & Technology,China,,
533,Liverpool John Moores University,United Kingdom,,
533,South China Normal University,China,,
533,Universidade Federal do Rio de Janeiro,Brazil,,
537,Nanchang University,China,,
537,University of Eastern Finland,Finland,,
537,University of Texas at Dallas,United States,,
540,Chulalongkorn University,Thailand,,
540,South China Agricultural University,China,,
542,Beijing Jiaotong University,China,,
542,Universita della Campania Vanvitelli,Italy,,
542,University of Canterbury,New Zealand,,
542,University of Perugia,Italy,,
546,Beijing University of Posts & Telecommunications,China,,
546,Ben-Gurion University of the Negev,Israel,,
546,Justus Liebig University Giessen,Germany,,
546,Medical College of Wisconsin,United States,,
550,Benha University,Egypt,,
550,Bocconi University,Italy,,
550,China University of Mining & Technology,China,,
550,Keio University,Japan,,
550,Universidade Federal de Minas Gerais,Brazil,,
550,USI - Universita della Svizzera italiana,Switzerland,,
556,Nanjing Tech University,China,,
556,University of Guelph,Canada,,
558,Leibniz University Hannover,Germany,,
558,Southern Medical University - China,China,,
558,University of Ferrara,Italy,,
558,University of Portsmouth,United Kingdom,,
562,Semmelweis University,Hungary,,
562,University of Jyvaskyla,Finland,,
562,University of Zagreb,Croatia,,
565,Imam Abdulrahman Bin Faisal University,Saudi Arabia,,
565,Sharif University of Technology,Iran,,
565,Universidade Nova de Lisboa,Portugal,,
568,Philipps University Marburg,Germany,,
568,Texas Tech University,United States,,
568,Universite Paris-Est-Creteil-Val-de-Marne (UPEC),France,,
568,University of Saskatchewan,Canada,,
572,American University of Beirut,Lebanon,,
572,Auckland University of Technology,New Zealand,,
572,Universiti Kebangsaan Malaysia,Malaysia,,
572,University of Konstanz,Germany,,
572,University of Tennessee Health Science Center,United States,,
572,University of Vermont,United States,,
578,King Faisal University,Saudi Arabia,,
578,Northern Arizona University,United States,,
578,Sunway University,Malaysia,,
578,UiT The Arctic University of Tromso,Norway,,
578,Universiti Putra Malaysia,Malaysia,,
578,Waseda University,Japan,,
584,Masaryk University,Czech Republic,,
584,National University of Sciences & Technology - Pakistan,Pakistan,,
584,Sultan Qaboos University,Oman,,
584,University of Tabriz,Iran,,
588,Georgia State University,United States,,
588,Institut National Polytechnique de Grenoble,France,,
588,North West University - South Africa,South Africa,,
588,Technische Universitat Wien,Austria,,
588,Tehran University of Medical Sciences,Iran,,
588,University of Lahore,Pakistan,,
594,Aston University,United Kingdom,,
594,Government College University Faisalabad,Pakistan,,
594,Mahidol University,Thailand,,
594,Middle East Technical University,Turkey,,
594,Taylor's University,Malaysia,,
594,University of Agriculture Faisalabad,Pakistan,,
594,University of Siena,Italy,,
601,Copenhagen Business School,Denmark,,
601,University of Bremen,Germany,,
601,University of Regensburg,Germany,,
604,National Technical University of Athens,Greece,,
604,University of Aveiro,Portugal,,
604,University of Dhaka,Bangladesh,,
604,University of Messina,Italy,,
608,HSE University (National Research University Higher School of Economics),Russia,,
608,Moscow Institute of Physics & Technology,Russia,,
608,Wenzhou University,China,,
611,Liverpool School of Tropical Medicine,United Kingdom,,
611,University of Palermo,Italy,,
613,Al Jouf University,Saudi Arabia,,
613,Capital Medical University,China,,
613,University of Salerno,Italy,,
616,Carleton University,Canada,,
616,Singapore Management University,Singapore,,
618,Martin Luther University Halle Wittenberg,Germany,,
618,University of Kent,United Kingdom,,
620,National Cheng Kung University,Taiwan,,
620,Universidade Estadual Paulista,Brazil,,
620,University of Parma,Italy,,
623,Auburn University,United States,,
623,Saint Louis University,United States,,
625,Institut Agro,France,,
625,National Yang Ming Chiao Tung University,Taiwan,,
625,University of Texas at San Antonio (UTSA),United States,,
628,Hiroshima University,Japan,,
628,University of Essex,United Kingdom,,
630,Mekelle University,Ethiopia,,
630,Universita di Modena e Reggio Emilia,Italy,,
630,University of Management & Technology (UMT),Pakistan,,
633,Education University of Hong Kong (EdUHK),Hong Kong,,
633,Hangzhou Normal University,China,,
633,Indian Institute of Science (IISC) - Bangalore,India,,
633,Roma Tre University,Italy,,
633,Universidade Federal de Sao Paulo (UNIFESP),Brazil,,
638,"University at Albany, SUNY",United States,,
638,University of Minho,Portugal,,
638,University of Rajshahi,Bangladesh,,
641,Indian Institute of Technology (IIT) - Madras,India,,
641,Menofia University,Egypt,,
641,Minia University,Egypt,,
641,University of Cagliari,Italy,,
645,Ahmadu Bello University,Nigeria,,
645,Chengdu University,China,,
645,Ecole Normale Superieure de Lyon (ENS de LYON),France,,
645,Nanjing Medical University,China,,
645,Rochester Institute of Technology,United States,,
645,Rutgers University Newark,United States,,
645,Technical University of Darmstadt,Germany,,
645,Tecnologico de Monterrey,Mexico,,
653,Abdul Wali Khan University,Pakistan,,
653,AgroParisTech,France,,
653,BOKU University,Austria,,
653,Suez Canal University,Egypt,,
653,Tilburg University,Netherlands,,
653,University of Alabama,United States,,
653,University of Luebeck,Germany,,
660,Hacettepe University,Turkey,,
660,Massey University,New Zealand,,
660,Shandong University of Science & Technology,China,,
660,Tata Institute of Fundamental Research (TIFR),India,,
664,Brandeis University,United States,,
664,Hainan University,China,,
664,University of Fribourg,Switzerland,,
667,Fujian Agriculture & Forestry University,China,,
667,Manchester Metropolitan University,United Kingdom,,
667,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,,
667,Shoolini University,India,,
667,Universitat Politecnica de Valencia,Spain,,
667,University of Crete,Greece,,
667,University of Louisville,United States,,
667,University of Plymouth,United Kingdom,,
667,West Virginia University,United States,,
676,Aligarh Muslim University,India,,
676,Beijing Forestry University,China,,
676,Beni-Suef University,Egypt,,
676,Clemson University,United States,,
676,University of Texas Medical Branch Galveston,United States,,
681,Indian Institute of Technology (IIT) - Bombay,India,,
681,Near East University,Turkey,,
681,Shanghai University of Finance & Economics,China,,
681,Universidad de Cantabria,Spain,,
681,Universite Clermont Auvergne (UCA),France,,
681,University of Missouri Kansas City,United States,,
687,Eastern Mediterranean University,Turkey,,
687,Istanbul Technical University,Turkey,,
687,Universidad Politecnica de Madrid,Spain,,
687,University of Bielefeld,Germany,,
687,Ural Federal University,Russia,,
687,Zayed University,United Arab Emirates,,
693,Chiang Mai University,Thailand,,
693,University of Ha'il,Saudi Arabia,,
693,University of International Business & Economics,China,,
696,Kansas State University,United States,,
696,Memorial University Newfoundland,Canada,,
696,University of Shanghai for Science & Technology,China,,
699,Harbin Engineering University,China,,
699,Macau University of Science & Technology,Macau,,
699,University of Oklahoma Health Sciences Center,United States,,
699,Vellore Institute of Technology (include only VIT Vellore and VIT Chennai campuses),India,,
703,Asia University,Taiwan,,
703,Indian Institute of Technology (IIT) - Delhi,India,,
703,Jamia Millia Islamia,India,,
703,Jazan University,Saudi Arabia,,
703,North China Electric Power University,China,,
703,Yunnan University,China,,
709,Addis Ababa University,Ethiopia,,
709,Kobe University,Japan,,
709,Pusan National University,United States,,
712,Amirkabir University of Technology,Iran,,
712,Universitetet i Stavanger,Norway,,
714,Nanjing University of Posts & Telecommunications,China,,
714,Okinawa Institute of Science & Technology Graduate University,Japan,,
714,Sabanci University,Turkey,,
714,Universidad Peruana Cayetano Heredia,Peru,,
714,University of Graz,Austria,,
714,University of North Carolina - Charlotte,United States,,
714,University of North Texas Denton,United States,,
714,University of the Western Cape,South Africa,,
722,Lappeenranta-Lahti University of Technology LUT,Finland,,
722,University of the Andes,Colombia,,
722,University of Waikato,New Zealand,,
722,University of Wisconsin Milwaukee,United States,,
722,Xi'an Jiaotong-Liverpool University,China,,
727,Symbiosis International University,India,,
727,Taibah University,Saudi Arabia,,
727,Universidad Nacional de Colombia,Colombia,,
727,University of Hull,United Kingdom,,
731,Alfaisal University,Saudi Arabia,,
731,Chang'an University,China,,
731,Northwest University Xi'an,China,,
731,Politecnico di Bari,Italy,,
731,University of Haifa,Israel,,
731,University of Jordan,Jordan,,
737,Islamia University of Bahawalpur,Pakistan,,
737,Palacky University Olomouc,Czech Republic,,
737,Qingdao University of Science & Technology,China,,
737,Tarbiat Modares University,Iran,,
741,European University Institute,Italy,,
741,Lulea University of Technology,Sweden,,
743,Hefei University of Technology,China,,
743,Marche Polytechnic University,Italy,,
743,University of Cyprus,Cyprus,,
743,University of Tabuk,United Kingdom,,
747,American University,United States,,
747,Chandigarh University,India,,
747,Czech University of Life Sciences Prague,Czech Republic,,
747,Haramaya University,Ethiopia,,
747,Makerere University,Uganda,,
747,Oklahoma State University - Stillwater,United States,,
747,University of Nevada Las Vegas,United States,,
747,University of Northumbria at Newcastle,United Kingdom,,
755,Colorado School of Mines,United States,,
755,Concordia University - Canada,Canada,,
755,Dortmund University of Technology,Germany,,
755,Future University in Egypt,,,
755,Zhejiang Gongshang University,China,,
760,Graduate University for Advanced Studies - Japan,Japan,,
760,University Djillali Liabes Sidi Bel Abbes,Algeria,,
760,University of Punjab,Pakistan,,
763,Hasselt University,Belgium,,
763,Henan University,China,,
763,Indian Institute of Technology (IIT) - Kharagpur,India,,
763,Kyungpook National University (KNU),South Korea,,
763,University of California Merced,United States,,
763,University of Udine,Italy,,
769,Dalian Maritime University,China,,
769,Jordan University of Science & Technology,Jordan,,
769,University of Ulsan,South Korea,,
772,Anglia Ruskin University,United Kingdom,,
772,University of Rhode Island,United States,,
772,Zhongnan University of Economics & Law,China,,
775,Banaras Hindu University (BHU),India,,
775,Panjab University,India,,
775,Peoples Friendship University of Russia,Russia,,
