rank,name,country
3,university of cambridge,UK
4,harvard university,USA
5,stanford university,USA
6,ucl,UK
7,eth zurich,Switzerland
8,university of chicago,USA
9,california institute of technology,USA
10,university of melbourne,Australia
11,university of hong kong,Hong Kong
16,national university of singapore,Singapore
17,university of toronto,Canada
18,chinese university of hong kong,Hong Kong
19,australian national university,Australia
20,yale university,USA
